Serial number,Width,Height,Area
1000931,2.761594261,2.763406596,7.631407797
1000772,2.568067421,2.538614601,6.51933345
1000973,2.504234399,2.573257707,6.444040466
1000882,2.724658299,2.57950763,7.028276872
1000603,2.7107076,2.687975578,7.286315828
1000696,2.764731399,2.506304829,6.929259656
1000535,2.531778657,2.713611623,6.870263991
1000982,2.554186609,2.703378231,6.904932478
1000784,2.670547084,2.660191293,7.104166101
1000857,2.737196803,2.554825734,6.99306083
1000273,2.557439805,2.677622126,6.847857407
1000369,2.62839896,2.61601577,6.875933128
1000237,2.655154524,2.710546548,7.196919931
1000122,2.725648185,2.724916037,7.427162452
1000744,2.501688886,2.56469485,6.416068602
1000377,2.746129768,2.715762857,7.457837224
1000650,2.645476068,2.506569552,6.631069762
1000018,2.561884498,2.584619454,6.621496512
1000003,2.566846857,2.718255098,6.977344553
1000225,2.506490133,2.744762271,6.879719552
1000778,2.560895475,2.599942509,6.658181007
1000867,2.587201423,2.582615115,6.681745501
1000254,2.672250609,2.660299814,7.108987799
1000516,2.779025627,2.553911355,7.097385105
1000771,2.781948828,2.537834896,7.060126816
1000042,2.500367828,2.545599423,6.3649349
1000725,2.527793235,2.557558037,6.464977904
1000154,2.794652548,2.594123921,7.249675026
1000889,2.541016844,2.631481005,6.686637557
1000175,2.749642485,2.712848635,7.459363863
1000257,2.510225868,2.64403923,6.637135672
1000009,2.65439537,2.64154381,7.011701658
1000788,2.620442225,2.659938628,6.970215497
1000990,2.545295142,2.505181863,6.376427226
1000204,2.750759769,2.796521034,7.692557555
1000878,2.744522949,2.744640027,7.53272754
1000170,2.62309239,2.678890637,7.026977642
1000741,2.577817823,2.730408175,7.038494857
1000947,2.694984875,2.760441753,7.439348773
1000581,2.546387967,2.656014071,6.763242269
1000651,2.531161786,2.603739581,6.590486129
1000484,2.710731101,2.501912758,6.782012724
1000647,2.509188215,2.709110237,6.797667481
1000208,2.518260719,2.752332782,6.93109153
1000558,2.500023515,2.608255596,6.520700325
1000639,2.684510701,2.755114646,7.396134747
1000289,2.644887682,2.6991987,7.139077394
1000015,2.609671679,2.637722077,6.883588603
1000895,2.734923576,2.588062898,7.078154236
1000284,2.679729398,2.61114534,6.99716293
1000750,2.633098924,2.719693486,7.161221993
1000455,2.668695117,2.72192121,7.263977842
1000218,2.572376901,2.5536528,6.568957476
1000893,2.675814731,2.758631809,7.381587631
1000394,2.551330358,2.688139899,6.85833293
1000253,2.715719972,2.522730564,6.851029775
1000562,2.799116431,2.736221961,7.659003848
1000602,2.609499994,2.69988413,7.04534762
1000875,2.616515594,2.599157787,6.800736879
1000185,2.792945285,2.623778155,7.328068829
1000875,2.697313883,2.509950802,6.770125144
1000321,2.722983971,2.684493209,7.309831978
1000861,2.761764297,2.703878326,7.467474624
1000994,2.795380401,2.609027722,7.293224961
1000208,2.593267365,2.529198474,6.558887863
1000101,2.733735351,2.752162066,7.523682731
1000285,2.51881155,2.560051819,6.448288091
1000094,2.726459974,2.518289758,6.866016228
1000202,2.551853786,2.536547217,6.472897621
1000614,2.549210496,2.724282979,6.944770763
1000775,2.574031126,2.639797971,6.794922144
1000028,2.716272828,2.525363062,6.859575067
1000490,2.789908323,2.524729026,7.043762523
1000984,2.525162024,2.798126202,7.065722024
1000381,2.660615604,2.677320516,7.123320742
1000911,2.5099134,2.732576905,6.858531391
1000274,2.503179893,2.523090303,6.315748915
1000509,2.570544158,2.550776813,6.556884434
1000933,2.732844777,2.641277718,7.218202016
1000479,2.508505966,2.779089929,6.971363667
1000020,2.788852443,2.672217426,7.452420097
1000568,2.585939974,2.753709777,7.120928189
1000920,2.717622135,2.672660989,7.263282663
1000862,2.531576629,2.785626863,7.052027865
1000050,2.724826865,2.620104488,7.139331096
1000804,2.624029306,2.686239127,7.04877019
1000418,2.622238161,2.781598789,7.294014494
1000330,2.679765025,2.583893783,6.924228187
1000010,2.573431036,2.771870707,7.133218107
1000949,2.632370725,2.769218722,7.289610297
1000128,2.714357846,2.720433295,7.384229457
1000920,2.551465662,2.673837007,6.822203311
1000533,2.605825825,2.502643476,6.521453002
1000684,2.737549084,2.698830696,7.388181499
1000122,2.794113941,2.687776365,7.509953411
1000397,2.704717562,2.735462066,7.398652288
1000475,2.765520723,2.65968411,7.355411521
1000511,2.619267465,2.75578039,7.218125914
1000130,2.667712634,2.696654006,7.193897962
1000894,2.783846348,2.760363103,7.684426744
1000013,2.523878503,2.68148803,6.767749993
1000123,2.673106212,2.71460692,7.256432619
1000545,2.681939813,2.512335342,6.737932178
1000152,2.759185938,2.575004782,7.104916984
1000130,2.637195342,2.656408584,7.005468342
1000592,2.589945005,2.585822995,6.697139349
1000010,2.738296752,2.585541073,7.079978721
1000025,2.763697594,2.599735669,7.184883214
1000155,2.750130314,2.698839423,7.422160111
1000962,2.750594355,2.780749517,7.648713922
1000676,2.579683697,2.646114707,6.82613897
1000366,2.501397549,2.654534764,6.640046752
1000487,2.601958778,2.612676621,6.798076869
1000661,2.575048742,2.73635631,7.046250875
1000347,2.657827406,2.719655053,7.228373736
1000797,2.615480924,2.500085254,6.53892529
1000437,2.567328017,2.673199229,6.862979275
1000462,2.688284314,2.578265926,6.931111847
1000766,2.70201072,2.777089427,7.5037254
1000761,2.535504729,2.671932778,6.774698194
1000030,2.735722109,2.556817256,6.994741495
1000993,2.764402477,2.535036052,7.007859942
1000335,2.647271906,2.522340855,6.677322082
1000128,2.784848852,2.534579733,7.058421458
1000970,2.781433559,2.683367273,7.463607785
1000547,2.526543743,2.649054233,6.692951396
1000644,2.580339802,2.768760119,7.144341936
1000110,2.505816658,2.630491752,6.591530052
1000173,2.523429176,2.712233669,6.844129571
1000808,2.757276523,2.645959127,7.295640984
1000454,2.538446328,2.756630708,6.9975591
1000248,2.55904496,2.587576974,6.621725814
1000863,2.756741436,2.630346409,7.251184936
1000340,2.636011664,2.71510145,7.157039091
1000391,2.550464669,2.530858681,6.454865647
1000382,2.733048642,2.783489753,7.60741289
1000015,2.604399582,2.727523552,7.1035612
1000226,2.518966563,2.594529203,6.535532307
1000714,2.755912516,2.789791437,7.68842114
1000753,2.672958991,2.504951573,6.695632827
1000338,2.621097292,2.551899936,6.688778011
1000887,2.570674741,2.597514521,6.677364969
1000065,2.546291678,2.652853242,6.754938133
1000469,2.520339586,2.507202743,6.319002322
1000383,2.597197339,2.545309589,6.610671293
1000693,2.524767871,2.761848467,6.973026273
1000720,2.565821811,2.784311867,7.144048116
1000030,2.630160533,2.710629927,7.129391854
1000573,2.532170905,2.603319915,6.592050947
1000284,2.667481413,2.56044208,6.829931656
1000627,2.570700275,2.66723243,6.856655141
1000196,2.641408188,2.598293569,6.863153906
1000152,2.599601512,2.599530896,6.757744448
1000808,2.557292823,2.563767603,6.556304491
1000487,2.613093447,2.717089104,7.100007733
1000120,2.596443358,2.505048967,6.504217752
1000790,2.513698194,2.690422855,6.762911072
1000204,2.600233672,2.750581626,7.152154961
1000009,2.672811085,2.537285916,6.781685923
1000325,2.572548663,2.587796891,6.657233431
1000993,2.562484225,2.595578603,6.651129226
1000780,2.568590697,2.65706499,6.824912415
1000479,2.709703209,2.683292554,7.270926445
1000929,2.679879393,2.558343926,6.856053166
1000219,2.597440265,2.674855844,6.947778272
1000357,2.560126237,2.500034756,6.400404573
1000759,2.531836248,2.641063157,6.686739433
1000907,2.600275887,2.767248626,7.195609877
1000465,2.786380895,2.732731286,7.614430247
1000654,2.641137398,2.572951011,6.79551714
1000408,2.614873088,2.642056537,6.908642535
1000088,2.780597885,2.68772374,7.473478946
1000185,2.602983135,2.603106716,6.775842879
1000188,2.616112269,2.506224762,6.556565349
1000784,2.594915244,2.543717871,6.60073228
1000323,2.768171141,2.573406524,7.123629673
1000344,2.590946362,2.700518889,6.996899591
1000514,2.674971291,2.597019257,6.946951955
1000909,2.705873664,2.595177478,7.022222391
1000522,2.604500212,2.679580573,6.978968171
1000947,2.511952834,2.571537492,6.459580891
1000740,2.537301485,2.667346456,6.767862124
1000689,2.789789882,2.507752166,6.996101619
1000892,2.572598915,2.559111834,6.583568326
1000478,2.547014647,2.672852022,6.807793251
1000803,2.505778806,2.744014691,6.875893858
1000002,2.64378997,2.527160217,6.681280835
1000422,2.50422027,2.547011261,6.378277227
1000982,2.511428144,2.79231811,7.012706289
1000630,2.527328804,2.657964895,6.717551239
1000342,2.796978657,2.532887771,7.084433035
1000386,2.731134621,2.754876791,7.52393938
1000516,2.566267997,2.713155879,6.962685103
1000734,2.575343749,2.590557191,6.671575268
1000811,2.595697391,2.505307166,6.503019275
1000593,2.796085952,2.728701808,7.629684793
1000708,2.647573772,2.60756707,6.903726182
1000341,2.56532691,2.678718777,6.871789361
1000007,2.609656874,2.759954459,7.202534124
1000278,2.613680524,2.712836098,7.090486876
1000528,2.569637546,2.768600608,7.11430007
1000206,2.640441844,2.738986247,7.232133896
1000993,2.576129565,2.725723172,7.021816048
1000085,2.755037468,2.648698054,7.29726238
1000499,2.500798015,2.512650184,6.283630594
1000407,2.740357247,2.605147975,7.139036133
1000497,2.512794263,2.65121872,6.661967191
1000204,2.59551916,2.617283464,6.793209378
1000885,2.773378609,2.782616483,7.71724903
1000269,2.774891355,2.795010303,7.755849928
1000286,2.766447167,2.655832575,7.347220504
1000024,2.655094338,2.760771989,7.330110075
1000548,2.673284698,2.74665038,7.342578432
1000999,2.656662749,2.701727754,7.177579483
1000069,2.675260418,2.625724065,7.024495658
1000688,2.514005718,2.55031967,6.411518234
1000176,2.63225091,2.595263954,6.831385905
1000697,2.711206875,2.672211405,7.244917933
1000950,2.530994676,2.71357572,6.868045698
1000164,2.645828702,2.620986012,6.934680017
1000050,2.695442288,2.737985348,7.380081489
1000325,2.575175711,2.68780339,6.921566006
1000260,2.619279627,2.546314886,6.669510706
1000613,2.667945813,2.659331404,7.094952083
1000036,2.556943115,2.768888153,7.079889499
1000908,2.543285489,2.751827565,6.998683112
1000335,2.683953329,2.639918174,7.085417169
1000050,2.524254911,2.562044398,6.467253154
1000848,2.722140345,2.604268811,7.089185198
1000116,2.61607988,2.637517364,6.899956109
1000146,2.784380121,2.757892352,7.679020641
1000248,2.611563572,2.718232155,7.098836077
1000849,2.78328845,2.697634976,7.50829627
1000980,2.561418535,2.591264517,6.637312963
1000230,2.750916393,2.696887131,7.418911017
1000892,2.614462886,2.735867297,7.15282351
1000242,2.66530516,2.507391684,6.682963994
1000191,2.772926562,2.501046522,6.935218335
1000646,2.548876361,2.789809592,7.110879722
1000384,2.550653899,2.574263186,6.566054434
1000150,2.503528397,2.641979249,6.614270073
1000186,2.572301492,2.673172776,6.87620632
1000985,2.624635378,2.675572189,7.022401426
1000001,2.602920213,2.590863168,6.74381011
1000256,2.681463895,2.547574127,6.831228042
1000965,2.696594437,2.774977999,7.482990235
1000787,2.621033451,2.62388854,6.877299634
1000415,2.691850018,2.621709256,7.057248107
1000024,2.731723816,2.562495241,7.000029278
1000536,2.701200626,2.656783454,7.176505127
1000500,2.616701774,2.533236511,6.628724473
1000872,2.65676928,2.743679997,7.28932473
1000031,2.742959832,2.736641459,7.506497598
1000867,2.651603843,2.560797148,6.790219558
1000700,2.592560609,2.794403511,7.244660467
1000861,2.727156173,2.679459597,7.307304781
1000114,2.759166024,2.702486833,7.456609849
1000351,2.595547663,2.798129095,7.262677432
1000554,2.606777913,2.669048336,6.95761625
1000461,2.717134416,2.554587875,6.941158633
1000503,2.65489006,2.667829339,7.082793594
1000855,2.598848453,2.76346207,7.181819126
1000728,2.542880489,2.654389844,6.749796144
1000868,2.789266399,2.731987974,7.620242258
1000836,2.54782821,2.5743549,6.559014035
1000404,2.503687518,2.722634544,6.816626124
1000101,2.594562418,2.574565096,6.679869842
1000995,2.571556984,2.714540851,6.980596482
1000706,2.578913571,2.595044954,6.69239665
1000388,2.588350385,2.542802367,6.581663483
1000486,2.613307297,2.53024554,6.612309131
1000794,2.788041428,2.578812257,7.189835409
1000116,2.700834321,2.663572894,7.193869088
1000655,2.600646369,2.639423067,6.864206017
1000427,2.746213683,2.581616568,7.089670741
1000461,2.536990327,2.566116717,6.51021329
1000490,2.51475809,2.70839286,6.810952856
1000863,2.571422186,2.586817604,6.651800179
1000265,2.775183853,2.505069722,6.952029042
1000328,2.658675475,2.564471432,6.818097304
1000250,2.504372326,2.595241365,6.499450654
1000277,2.69157697,2.759727158,7.428018063
1000868,2.712464393,2.677104974,7.261551916
1000982,2.709785732,2.687177615,7.281675562
1000532,2.612177666,2.781476949,7.265711964
1000604,2.617506536,2.612933038,6.839369304
1000956,2.522601218,2.638748927,6.656511259
1000438,2.793098039,2.576460909,7.196307913
1000778,2.753917774,2.682979286,7.388704344
1000310,2.542888728,2.72814347,6.937365277
1000196,2.692323281,2.634549974,7.093060229
1000843,2.752458441,2.744258297,7.553456914
1000795,2.716260219,2.719364881,7.386502647
1000515,2.784219352,2.617567098,7.287880969
1000510,2.530860373,2.712155779,6.864087586
1000375,2.592256839,2.782104146,7.211928499
1000539,2.556459317,2.643229211,6.757307943
1000135,2.635034384,2.589263539,6.822798454
1000082,2.689908368,2.639895063,7.101075819
1000281,2.611652504,2.580866692,6.740326958
1000022,2.551045367,2.61877492,6.680613625
1000016,2.556250823,2.790260251,7.132605061
1000098,2.692835892,2.629009246,7.079490457
1000882,2.775168407,2.681890454,7.442697657
1000044,2.780736965,2.699471077,7.506519012
1000519,2.794748482,2.529677773,7.069813118
1000560,2.610124294,2.639932218,6.890551217
1000255,2.694042363,2.676978328,7.21189302
1000811,2.650294556,2.67235582,7.082530082
1000460,2.505468808,2.615377996,6.55274799
1000535,2.551668016,2.597907542,6.628997584
1000474,2.770280816,2.590655319,7.176842731
1000655,2.768832611,2.658874953,7.361979679
1000821,2.796006808,2.764154597,7.728595073
1000500,2.671105512,2.715092878,7.252299552
1000177,2.524040996,2.619421466,6.611527165
1000799,2.6289403,2.756412075,7.246442787
1000119,2.575159258,2.750856559,7.083893736
1000790,2.719855833,2.507484245,6.819995648
1000098,2.799565259,2.765321562,7.741698176
1000058,2.53152434,2.682001948,6.789553212
1000467,2.740038034,2.670060593,7.316067577
1000290,2.606391496,2.555843466,6.661528674
1000884,2.515261165,2.742353713,6.897735796
1000553,2.776392529,2.659178745,7.382924001
1000103,2.561470524,2.772718688,7.102237191
1000255,2.536918095,2.668327298,6.769327806
1000745,2.700770443,2.588242089,6.990247733
1000617,2.556873082,2.731954208,6.985260175
1000366,2.791053377,2.602069805,7.262515716
1000630,2.794879787,2.523244556,7.052165208
1000463,2.717918623,2.523081766,6.857530919
1000358,2.76356715,2.546206859,7.036613631
1000437,2.700275313,2.756117339,7.442275612
1000439,2.688705652,2.530918172,6.804893992
1000928,2.507519631,2.615260951,6.557818174
1000526,2.716185174,2.693746342,7.316713876
1000095,2.566948493,2.76186767,7.089572054
1000378,2.790451786,2.706145621,7.551368883
1000046,2.649668275,2.708830159,7.177501334
1000818,2.571412557,2.725226519,7.007681691
1000612,2.758661545,2.653744295,7.320782337
1000443,2.652559597,2.615054911,6.936589
1000013,2.720642168,2.54894904,6.934778241
1000530,2.704839916,2.73302296,7.392389593
1000476,2.640458998,2.721131743,7.185036793
1000815,2.624033505,2.527962535,6.633458389
1000607,2.718173691,2.778342076,7.552016334
1000012,2.65476305,2.641815948,7.013395363
1000941,2.669606221,2.64452222,7.05983297
1000905,2.545071156,2.575900746,6.555850691
1000709,2.527946297,2.540345805,6.421857769
1000668,2.717830768,2.684345546,7.295596918
1000400,2.685863761,2.637847131,7.084898016
1000311,2.719976921,2.602672638,7.079209509
1000151,2.728884073,2.687408006,7.333624904
1000990,2.657033765,2.654836758,7.053990906
1000931,2.664309765,2.520425404,6.715194016
1000149,2.73721628,2.724637658,7.457922555
1000591,2.722654744,2.641979074,7.193196859
1000548,2.795396972,2.652654617,7.415222683
1000917,2.571061716,2.563687161,6.591397911
1000763,2.505392408,2.563403629,6.422331991
1000096,2.505827061,2.552821385,6.39692891
1000996,2.608609642,2.565851264,6.693304346
1000816,2.682033256,2.784338654,7.467688865
1000872,2.579760271,2.533899427,6.536853073
1000174,2.779209462,2.794636374,7.766879852
1000500,2.774532752,2.6130037,7.249864346
1000896,2.556101886,2.65394046,6.783742215
1000680,2.757867396,2.753525254,7.593857522
1000181,2.66963599,2.680498349,7.155954862
1000322,2.687015629,2.627679325,7.060615415
1000986,2.615387346,2.678181389,7.004481717
1000570,2.576643243,2.767162444,7.129990415
1000911,2.633936753,2.771390861,7.299668246
1000479,2.711313,2.718715565,7.371288854
1000783,2.765022983,2.692624965,7.445169913
1000359,2.595198691,2.556129673,6.633664383
1000635,2.740124081,2.577080431,7.061520147
1000332,2.641487388,2.613094343,6.90245575
1000318,2.684994967,2.62784919,7.055761848
1000481,2.786010727,2.689637412,7.493358683
1000510,2.624199904,2.763931946,7.253109948
1000523,2.565812346,2.628917209,6.745308232
1000006,2.530482682,2.777651828,7.02879985
1000089,2.561234397,2.627577289,6.729841332
1000817,2.639449347,2.602069906,6.868031715
1000147,2.788780879,2.655806325,7.406461899
1000117,2.696615366,2.599848867,7.010792404
1000947,2.558133109,2.733061254,6.991534481
1000208,2.656339377,2.573012043,6.834793208
1000720,2.713831164,2.512746397,6.819169482
1000872,2.539653762,2.776139226,7.050432431
1000056,2.682400527,2.621966955,7.033165541
1000042,2.684741793,2.681670806,7.19959369
1000404,2.672658919,2.698130568,7.211182727
1000462,2.732615679,2.53006029,6.913682418
1000136,2.729215076,2.73920523,7.475880211
1000123,2.584519021,2.568861887,6.639272408
1000379,2.602957641,2.586089213,6.731480679
1000816,2.695403263,2.57338722,6.93631631
1000656,2.754553243,2.784205953,7.669243537
1000164,2.689339707,2.527652044,6.797715007
1000673,2.703906143,2.667375483,7.212332955
1000008,2.625055335,2.692298461,7.06743244
1000756,2.521220319,2.66212995,6.711816124
1000169,2.606599979,2.63874323,6.878148049
1000164,2.64721096,2.541689234,6.728387599
1000674,2.500671943,2.520927773,6.304013351
1000479,2.773773195,2.743667878,7.610312414
1000896,2.743074659,2.67527481,7.338478536
1000616,2.61966662,2.681309604,7.024137267
1000425,2.514337469,2.794887919,7.027291414
1000416,2.675076961,2.553127793,6.829813337
1000767,2.706722254,2.513725193,6.80395592
1000791,2.647094586,2.710294178,7.174405045
1000305,2.698031277,2.787183898,7.519909332
1000170,2.539792347,2.666342091,6.771955236
1000987,2.587968628,2.526825007,6.539343845
1000018,2.523051983,2.738060791,6.90826971
1000223,2.733113798,2.659265067,7.268074045
1000588,2.740449408,2.524637817,6.918642209
1000448,2.696217015,2.775844916,7.484280291
1000919,2.734123233,2.547982585,6.966498384
1000437,2.536782994,2.68945823,6.8225719
1000983,2.678168386,2.721756324,7.289321743
1000738,2.77922079,2.652491713,7.371860112
1000949,2.657004627,2.599605336,6.907163406
1000036,2.527046662,2.646830474,6.688664115
1000563,2.797275982,2.720977381,7.611324676
1000025,2.611387915,2.542522184,6.639511703
1000531,2.638999583,2.67775,7.066581133
1000459,2.735290317,2.716950139,7.431647407
1000910,2.680225936,2.773116923,7.432579902
1000870,2.595009514,2.703215188,7.01486913
1000314,2.608630398,2.547630581,6.645826577
1000139,2.764052462,2.573807426,7.11413875
1000347,2.551224328,2.737595385,6.984219945
1000811,2.717565792,2.634223307,7.158675147
1000059,2.598970542,2.744303728,7.132364548
1000946,2.63740008,2.610337028,6.884503085
1000713,2.761596686,2.781635592,7.68175563
1000234,2.601974285,2.776312335,7.223893301
1000868,2.568895471,2.605368882,6.692920319
1000187,2.705300254,2.784084065,7.531783328
1000622,2.765409335,2.535752719,7.012394242
1000011,2.706466985,2.671269066,7.229701534
1000314,2.646965912,2.520073674,6.670549112
1000971,2.60486987,2.775766762,7.230511204
1000103,2.637129904,2.606400923,6.873417815
1000837,2.614620305,2.62957148,6.875330986
1000772,2.73947867,2.686986112,7.360941141
1000165,2.764276534,2.580540017,7.133326215
1000209,2.786096811,2.794275307,7.785121522
1000222,2.587073901,2.69020688,6.959764007
1000268,2.555804632,2.562958414,6.550420985
